episode,reward,epsilon,mode
100,-35.7,0.99998,easy
200,-30.17,0.99998,easy
300,-30.11,0.99998,easy
400,-36.74,0.99998,easy
500,-28.14,0.99998,easy
600,-37.38,0.99998,easy
700,-37.27,0.99998,easy
800,-35.29,0.99998,easy
900,-35.12,0.99998,easy
1000,-32.59,0.9999600004,easy
1100,-36.04,0.9979620590270775,easy
1200,-30.66,0.9959681095835603,easy
1300,-33.55,0.9939781440934882,easy
1400,-35.83,0.9919921545968376,easy
1500,-34.78,0.9900101331494888,easy
1600,-29.56,0.9880320718231953,easy
1700,-27.83,0.9860579627055504,easy
1800,-39.2,0.9840877978999574,easy
1900,-34.44,0.9821215695255969,easy
2000,-29.91,0.9801592697173949,easy
2100,-33.42,0.978200890625992,easy
2200,-35.63,0.9762464244177147,easy
2300,-36.19,0.9742958632745381,easy
2400,-30.49,0.9723491993940583,easy
2500,-32.29,0.9704064249894621,easy
2600,-39.85,0.9684675322894938,easy
2700,-31.88,0.9665325135384246,easy
2800,-31.15,0.9646013609960223,easy
2900,-39.14,0.9626740669375197,easy
3000,-36.43,0.9607506236535837,easy
3100,-39.28,0.9588310234502851,easy
3200,-32.05,0.9569152586490665,easy
3300,-35.78,0.9550033215867134,easy
3400,-29.41,0.9530952046153216,easy
3500,-27.86,0.9511909001022688,easy
3600,-39.82,0.9492904004301808,easy
3700,-31.07,0.9473936979969041,easy
3800,-35.63,0.9455007852154754,easy
3900,-33.27,0.9436116545140901,easy
4000,-30.13,0.9417262983360716,easy
4100,-35.39,0.9398447091398419,easy
4200,-30.56,0.9379668793988911,easy
4300,-35.35,0.9360928016017467,easy
4400,-37.28,0.9342224682519461,easy
4500,-32.61,0.9323558718680027,easy
4600,-32.69,0.93049300498338,easy
4700,-35.64,0.928633860146459,easy
4800,-37.82,0.9267784299205087,easy
4900,-37.32,0.9249267068836574,easy
5000,-37.91,0.9230786836288624,easy
5100,-34.18,0.9212343527638807,easy
5200,-31.75,0.9193937069112379,easy
5300,-43.74,0.9175567387082021,easy
5400,-25.43,0.9157234408067506,easy
5500,-40.6,0.9138938058735421,easy
5600,-32.67,0.912067826589889,easy
5700,-25.33,0.9102454956517254,easy
5800,-32.31,0.9084268057695792,easy
5900,-37.34,0.9066117496685423,easy
6000,-41.79,0.9048003200882428,easy
6100,-36.01,0.902992509782816,easy
6200,-31.97,0.9011883115208729,easy
6300,-32.85,0.8993877180854736,easy
6400,-32.88,0.8975907222740992,easy
6500,-32.02,0.8957973168986192,easy
6600,-24.51,0.8940074947852658,easy
6700,-42.36,0.8922212487746061,easy
6800,-31.19,0.8904385717215101,easy
6900,-30.99,0.8886594564951243,easy
7000,-30.84,0.8868838959788439,easy
7100,-38.51,0.8851118830702813,easy
7200,-33.4,0.8833434106812416,easy
7300,-35.13,0.8815784717376921,easy
7400,-27.37,0.8798170591797317,easy
7500,-36.23,0.8780591659615681,easy
7600,-32.56,0.8763047850514855,easy
7700,-30.43,0.874553909431817,easy
7800,-37.76,0.8728065320989178,easy
7900,-41.34,0.8710626460631368,easy
8000,-30.88,0.8693222443487875,easy
8100,-34.16,0.8675853199941217,easy
8200,-33.62,0.8658518660513009,easy
8300,-35.78,0.8641218755863687,easy
8400,-34.35,0.8623953416792217,easy
8500,-35.44,0.8606722574235841,easy
8600,-24.83,0.8589526159269788,easy
8700,-36.52,0.8572364103107001,easy
8800,-40.5,0.8555236337097857,easy
8900,-40.8,0.8538142792729901,easy
9000,-35.73,0.8521083401627573,easy
9100,-37.59,0.8504058095551906,easy
9200,-23.74,0.8487066806400296,easy
9300,-34.0,0.8470109466206213,easy
9400,-29.59,0.8453186007138908,easy
9500,-34.68,0.843629636150316,easy
9600,-23.48,0.8419440461739032,easy
9700,-30.51,0.8402618240421542,easy
9800,-32.23,0.8385829630260442,easy
9900,-32.04,0.8369074564099929,easy
10000,-35.04,0.835235297491836,easy
10100,-34.55,0.8335664795828029,easy
10200,-39.64,0.8319009960074865,easy
10300,-33.97,0.8302388401038163,easy
10400,-29.59,0.8285800052230342,easy
10500,-33.02,0.8269244847296651,easy
10600,-34.55,0.825272272001493,easy
10700,-27.63,0.8236233604295318,easy
10800,-38.65,0.821977743418002,easy
10900,-28.27,0.820335414384301,easy
11000,-34.06,0.8186963667589802,easy
11100,-37.19,0.8170605939857142,easy
11200,-37.68,0.8154280895212793,easy
11300,-32.6,0.8137988468355262,easy
11400,-31.57,0.8121728594113503,easy
11500,-33.3,0.8105501207446696,easy
11600,-35.41,0.8089306243443984,easy
11700,-33.06,0.8073143637324188,easy
11800,-27.73,0.8057013324435567,easy
11900,-37.63,0.804091524025556,easy
12000,-27.08,0.8024849320390518,easy
12100,-28.97,0.8008815500575467,easy
12200,-32.26,0.7992813716673809,easy
12300,-36.96,0.7976843904677111,easy
12400,-26.62,0.7960906000704829,easy
12500,-40.84,0.7944999941004048,easy
12600,-32.56,0.7929125661949237,easy
12700,-30.24,0.7913283100041991,easy
12800,-29.31,0.7897472191910766,easy
12900,-37.31,0.7881692874310655,easy
13000,-28.89,0.7865945084123094,easy
13100,-39.37,0.7850228758355651,easy
13200,-32.48,0.7834543834141735,easy
13300,-32.24,0.7818890248740373,easy
13400,-34.15,0.7803267939535959,easy
13500,-26.52,0.7787676844037981,easy
13600,-38.61,0.7772116899880782,easy
13700,-30.22,0.7756588044823329,easy
13800,-28.35,0.7741090216748939,easy
13900,-34.97,0.7725623353665027,easy
14000,-22.19,0.7710187393702895,easy
14100,-29.79,0.7694782275117459,easy
14200,-33.23,0.7679407936286972,easy
14300,-25.08,0.7664064315712832,easy
14400,-36.78,0.7648751352019311,easy
14500,-35.8,0.7633468983953311,easy
14600,-36.73,0.7618217150384112,easy
14700,-21.0,0.7602995790303134,easy
14800,-35.96,0.758780484282371,easy
14900,-26.27,0.7572644247180811,easy
15000,-34.23,0.755751394273082,easy
15100,-36.98,0.7542413868951291,easy
15200,-29.56,0.75273439654407,easy
15300,-34.19,0.7512304171918205,easy
15400,-35.53,0.7497294428223404,easy
15500,-27.52,0.7482314674316113,easy
15600,-35.46,0.746736485027609,easy
15700,-28.97,0.7452444896302821,easy
15800,-28.88,0.7437554752715292,easy
15900,-26.25,0.7422694359951701,easy
16000,-25.42,0.7407863658569277,easy
16100,-25.52,0.7393062589244005,easy
16200,-31.88,0.7378291092770397,easy
16300,-26.59,0.7363549110061276,easy
16400,-34.64,0.7348836582147504,easy
16500,-29.69,0.7334153450177779,easy
16600,-24.01,0.731949965541838,easy
16700,-31.04,0.7304875139252934,easy
16800,-25.41,0.7290279843182187,easy
