WORD       | FINAL    | ENTROPY  | PROB MASS
---------------------------------------------
raise      | 6.6813   | 5.8772   | 0.8041
trace      | 6.6103   | 5.8272   | 0.7831
least      | 6.6087   | 5.7539   | 0.8548
slate      | 6.5975   | 5.8585   | 0.7390
arise      | 6.5876   | 5.8172   | 0.7704
alert      | 6.5605   | 5.7421   | 0.8184
later      | 6.5555   | 5.7081   | 0.8474
crate      | 6.5483   | 5.8304   | 0.7179
trade      | 6.5343   | 5.6797   | 0.8546
learn      | 6.5229   | 5.6556   | 0.8673
stare      | 6.5182   | 5.8088   | 0.7094
arose      | 6.4876   | 5.7648   | 0.7228
crane      | 6.4873   | 5.7381   | 0.7492
store      | 6.4872   | 5.6083   | 0.8789
alter      | 6.4807   | 5.7127   | 0.7680
snare      | 6.4650   | 5.7731   | 0.6919
share      | 6.4637   | 5.6070   | 0.8567
heart      | 6.4588   | 5.6097   | 0.8491
irate      | 6.4421   | 5.8305   | 0.6116
alone      | 6.4383   | 5.6138   | 0.8245
react      | 6.4339   | 5.6916   | 0.7423
stale      | 6.4251   | 5.7429   | 0.6822
trail      | 6.3997   | 5.5917   | 0.8080
scale      | 6.3960   | 5.5664   | 0.8296
clear      | 6.3919   | 5.5433   | 0.8486
alien      | 6.3860   | 5.6069   | 0.7791
roast      | 6.3774   | 5.6458   | 0.7316
trial      | 6.3684   | 5.5328   | 0.8356
parse      | 6.3684   | 5.6307   | 0.7377
train      | 6.3682   | 5.5504   | 0.8178
plate      | 6.3593   | 5.5504   | 0.8089
cater      | 6.3579   | 5.6448   | 0.7131
scare      | 6.3578   | 5.6294   | 0.7284
aisle      | 6.3470   | 5.6378   | 0.7092
solar      | 6.3403   | 5.5373   | 0.8030
saint      | 6.3310   | 5.5068   | 0.8242
pearl      | 6.3300   | 5.5300   | 0.8000
spare      | 6.3298   | 5.5525   | 0.7773
great      | 6.3281   | 5.4484   | 0.8797
route      | 6.3169   | 5.4995   | 0.8174
dealt      | 6.3122   | 5.5535   | 0.7587
large      | 6.3112   | 5.4459   | 0.8653
renal      | 6.2992   | 5.5534   | 0.7458
table      | 6.2948   | 5.4296   | 0.8652
tried      | 6.2928   | 5.4727   | 0.8201
suite      | 6.2905   | 5.4619   | 0.8286
saner      | 6.2895   | 5.7364   | 0.5531
saute      | 6.2820   | 5.6321   | 0.6499
close      | 6.2796   | 5.4256   | 0.8540
lance      | 6.2741   | 5.5200   | 0.7541
siren      | 6.2737   | 5.5803   | 0.6934
plane      | 6.2724   | 5.4742   | 0.7982
score      | 6.2682   | 5.4266   | 0.8416
grate      | 6.2644   | 5.6043   | 0.6601
stone      | 6.2637   | 5.4367   | 0.8270
cause      | 6.2584   | 5.4182   | 0.8402
caste      | 6.2571   | 5.5707   | 0.6864
slice      | 6.2570   | 5.5100   | 0.7470
trice      | 6.2562   | 5.6279   | 0.6283
place      | 6.2542   | 5.3818   | 0.8724
canoe      | 6.2539   | 5.5152   | 0.7387
rinse      | 6.2539   | 5.5455   | 0.7084
horse      | 6.2523   | 5.4157   | 0.8366
earth      | 6.2491   | 5.4112   | 0.8379
leant      | 6.2488   | 5.6859   | 0.5629
noise      | 6.2463   | 5.4362   | 0.8101
stole      | 6.2463   | 5.5202   | 0.7261
sauce      | 6.2401   | 5.4593   | 0.7808
steal      | 6.2385   | 5.4793   | 0.7592
glare      | 6.2330   | 5.5329   | 0.7001
tenor      | 6.2289   | 5.5105   | 0.7184
stair      | 6.2285   | 5.5172   | 0.7113
their      | 6.2264   | 5.3264   | 0.9000
range      | 6.2260   | 5.3673   | 0.8587
coast      | 6.2123   | 5.3818   | 0.8305
grace      | 6.2121   | 5.4142   | 0.7979
since      | 6.2106   | 5.3390   | 0.8716
sonar      | 6.2100   | 5.5171   | 0.6929
panel      | 6.2092   | 5.3751   | 0.8341
crest      | 6.2057   | 5.4518   | 0.7539
shale      | 6.2048   | 5.5381   | 0.6667
shore      | 6.2038   | 5.4180   | 0.7858
taper      | 6.2026   | 5.5113   | 0.6913
price      | 6.2024   | 5.3115   | 0.8909
paste      | 6.1990   | 5.4261   | 0.7729
snore      | 6.1971   | 5.5783   | 0.6188
tread      | 6.1878   | 5.4848   | 0.7030
loser      | 6.1856   | 5.4642   | 0.7214
slant      | 6.1846   | 5.4927   | 0.6919
shear      | 6.1799   | 5.4528   | 0.7271
layer      | 6.1733   | 5.3610   | 0.8123
carol      | 6.1700   | 5.3888   | 0.7812
early      | 6.1684   | 5.3164   | 0.8520
shire      | 6.1679   | 5.4442   | 0.7237
those      | 6.1661   | 5.2890   | 0.8771
clean      | 6.1655   | 5.3365   | 0.8290
beast      | 6.1654   | 5.3737   | 0.7917
ratio      | 6.1641   | 5.3524   | 0.8117
meant      | 6.1623   | 5.3640   | 0.7983
stage      | 6.1618   | 5.3284   | 0.8334
clone      | 6.1561   | 5.3816   | 0.7745
space      | 6.1555   | 5.2983   | 0.8572
slide      | 6.1515   | 5.3455   | 0.8060
liner      | 6.1491   | 5.4034   | 0.7457
yeast      | 6.1446   | 5.3865   | 0.7581
rouse      | 6.1427   | 5.4734   | 0.6693
hotel      | 6.1424   | 5.2630   | 0.8794
atone      | 6.1420   | 5.5573   | 0.5847
risen      | 6.1352   | 5.4123   | 0.7229
lapse      | 6.1322   | 5.4354   | 0.6968
realm      | 6.1307   | 5.3724   | 0.7583
water      | 6.1285   | 5.2568   | 0.8717
satin      | 6.1279   | 5.3665   | 0.7614
hater      | 6.1261   | 5.4839   | 0.6422
dance      | 6.1230   | 5.2904   | 0.8326
prose      | 6.1178   | 5.3878   | 0.7300
adore      | 6.1175   | 5.4307   | 0.6868
coral      | 6.1174   | 5.3449   | 0.7725
teary      | 6.1162   | 5.5371   | 0.5791
cleat      | 6.1156   | 5.4849   | 0.6307
crone      | 6.1127   | 5.5067   | 0.6060
salon      | 6.1120   | 5.3344   | 0.7776
nurse      | 6.1105   | 5.3144   | 0.7961
tribe      | 6.1089   | 5.3406   | 0.7683
spear      | 6.1086   | 5.3806   | 0.7280
reach      | 6.1083   | 5.2868   | 0.8215
grade      | 6.1076   | 5.2732   | 0.8344
urine      | 6.1046   | 5.3552   | 0.7494
cedar      | 6.1043   | 5.3290   | 0.7753
prone      | 6.1017   | 5.3729   | 0.7288
brace      | 6.1015   | 5.3866   | 0.7149
stern      | 6.1008   | 5.3537   | 0.7471
